Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
214,1.3321327660206032e-06,0.0006276045198113489,1.3145076977954994e-05
215,1.308701609502328e-06,0.0006247267907160977,1.3034361756452892e-05
216,1.2969749018687e-06,0.0006268635104420264,1.3130482585543661e-05
217,1.3803497427872775e-06,0.0006285122633802657,1.2939742787790252e-05
218,1.357133270805423e-06,0.0006295676288911331,1.3090982427655757e-05
219,1.291441239775044e-06,0.0006190161362771153,1.2948674879931718e-05
220,1.3142872385462998e-06,0.0006191680496399798,1.3078638431145541e-05
221,1.2657584155691607e-06,0.0006149133812775216,1.2905144875713845e-05
222,1.3561064137952321e-06,0.0006274658908362701,1.290511862722221e-05
223,1.3346422769015037e-06,0.00063113737217363,1.2887309386272746e-05
224,1.2745387595143492e-06,0.0006151246798885656,1.2887269033686063e-05
225,1.3037769967440898e-06,0.0006228694157373313,1.3045930512659678e-05
226,1.3109317203480802e-06,0.0006123510037548002,1.2805637160357763e-05
227,1.310825121969041e-06,0.0006219946701610965,1.3054209729682827e-05
228,1.323901115827708e-06,0.0006235445274550035,1.2849042888787243e-05
229,1.3212482444601676e-06,0.0006192433393995906,1.2942748923091473e-05
230,1.3251537425694888e-06,0.0006246099456067256,1.3224393848437178e-05
231,1.3408697210663344e-06,0.0006276745353121528,1.289363617115631e-05
232,1.3192440507495883e-06,0.000613473397449439,1.2799162558995862e-05
233,1.3484848669492989e-06,0.0006269271839616707,1.2911534397492873e-05
234,1.3084201220988091e-06,0.0006227618812757761,1.2981229525698701e-05
235,1.346354423061707e-06,0.0006291935658660619,1.295870056876443e-05
236,1.33608106238331e-06,0.0006293157695357639,1.3308074906091241e-05
237,1.3302179783282462e-06,0.0006285100026794532,1.3133672446292003e-05
238,1.3398857393222204e-06,0.0006219178360625978,1.2904567362214583e-05
239,1.3224600348473382e-06,0.0006232656325567783,1.2785685584086306e-05
240,1.2794402514574196e-06,0.0006181578656938782,1.29300780215162e-05
241,1.342095840809846e-06,0.0006233846363568167,1.2868318374447473e-05
242,1.2876822054455007e-06,0.0006188637734922738,1.312408767662789e-05
243,1.3330861755893144e-06,0.0006268142775916608,1.316338341061117e-05
244,1.3353810292835956e-06,0.0006183603029208442,1.2841953872428702e-05
245,1.3637743348065264e-06,0.0006265969978576713,1.2819446240377056e-05
246,1.3569833649372507e-06,0.0006314321317251163,1.2990564211491261e-05
247,1.3016941771160936e-06,0.0006198774397076092,1.2853171474829463e-05
248,1.335280437022586e-06,0.0006214496130238349,1.2853962493194514e-05
249,1.3273993877587154e-06,0.0006182969032127273,1.2817504330080696e-05
250,1.3518969386380647e-06,0.0006253327309082005,1.2849331929627713e-05
251,1.3201493030734192e-06,0.0006172110207994142,1.2560324775259556e-05
252,1.3126510074170439e-06,0.0006215713183520634,1.2997965007784688e-05
253,1.3236878376543702e-06,0.0006250103798134114,1.278130643625775e-05
254,1.3255768893155848e-06,0.0006263923121298203,1.3260464090223531e-05
255,1.335314056746879e-06,0.0006248647252210234,1.29487395398099e-05
256,1.3226083884001877e-06,0.0006262330258933641,1.298381195467692e-05
257,1.374719816888141e-06,0.0006295678881202209,1.3051315917430932e-05
258,1.3227605092729706e-06,0.0006218982248805494,1.28924469643378e-05
